id,color,color_id,height,image_file,image_height,image_width,index,width,x,y,center_x,center_y,center_x_norm,center_y_norm,longer,shorter,aspect_max_min,aspect,size
0,black,black,111,B104.json,973,968,0,108,140,16,194.0,71.5,0.20041322314049587,0.07348406988694758,111,108,1.0277777777777777,0.972972972972973,11988
1,blue,blue,111,B104.json,973,968,1,454,248,16,475.0,71.5,0.490702479338843,0.07348406988694758,454,111,4.09009009009009,4.09009009009009,50394
2,white,white,456,B104.json,973,968,2,140,0,16,70.0,244.0,0.07231404958677685,0.25077081192189105,456,140,3.257142857142857,0.30701754385964913,63840
3,white,white,143,B104.json,973,968,3,373,140,127,326.5,198.5,0.33729338842975204,0.2040082219938335,373,143,2.6083916083916083,2.6083916083916083,53339
4,red,red,143,B104.json,973,968,4,189,513,127,607.5,198.5,0.6275826446280992,0.2040082219938335,189,143,1.3216783216783217,1.3216783216783217,27027
5,black,black,136,B104.json,973,968,5,206,702,134,805.0,202.0,0.8316115702479339,0.20760534429599178,206,136,1.5147058823529411,1.5147058823529411,28016
6,blue,blue,136,B104.json,973,968,6,60,908,134,938.0,202.0,0.96900826446281,0.20760534429599178,136,60,2.2666666666666666,0.4411764705882353,8160
7,black,black,202,B104.json,973,968,7,104,140,270,192.0,371.0,0.19834710743801653,0.381294964028777,202,104,1.9423076923076923,0.5148514851485149,21008
8,yellow,yellow,202,B104.json,973,968,8,269,244,270,378.5,371.0,0.3910123966942149,0.381294964028777,269,202,1.3316831683168318,1.3316831683168318,54338
9,blue,blue,335,B104.json,973,968,9,189,513,270,607.5,437.5,0.6275826446280992,0.44964028776978415,335,189,1.7724867724867726,0.564179104477612,63315
10,red,red,335,B104.json,973,968,10,206,702,270,805.0,437.5,0.8316115702479339,0.44964028776978415,335,206,1.6262135922330097,0.6149253731343284,69010
11,white,white,476,B104.json,973,968,11,60,908,270,938.0,508.0,0.96900826446281,0.5220966084275437,476,60,7.933333333333334,0.12605042016806722,28560
12,white,white,439,B104.json,973,968,12,104,140,472,192.0,691.5,0.19834710743801653,0.710688591983556,439,104,4.221153846153846,0.23690205011389523,45656
13,yellow,yellow,133,B104.json,973,968,13,269,244,472,378.5,538.5,0.3910123966942149,0.55344295991778,269,133,2.0225563909774436,2.0225563909774436,35777
14,white,white,439,B104.json,973,968,14,140,0,472,70.0,691.5,0.07231404958677685,0.710688591983556,439,140,3.1357142857142857,0.31890660592255127,61460
15,red,red,141,B104.json,973,968,15,269,244,605,378.5,675.5,0.3910123966942149,0.6942446043165468,269,141,1.9078014184397163,1.9078014184397163,37929
16,white,white,141,B104.json,973,968,16,189,513,605,607.5,675.5,0.6275826446280992,0.6942446043165468,189,141,1.3404255319148937,1.3404255319148937,26649
17,yellow,yellow,141,B104.json,973,968,17,206,702,605,805.0,675.5,0.8316115702479339,0.6942446043165468,206,141,1.4609929078014185,1.4609929078014185,29046
18,black,black,165,B104.json,973,968,18,269,244,746,378.5,828.5,0.3910123966942149,0.8514902363823227,269,165,1.6303030303030304,1.6303030303030304,44385
19,white,white,165,B104.json,973,968,19,189,513,746,607.5,828.5,0.6275826446280992,0.8514902363823227,189,165,1.1454545454545455,1.1454545454545455,31185
20,blue,blue,165,B104.json,973,968,20,206,702,746,805.0,828.5,0.8316115702479339,0.8514902363823227,206,165,1.2484848484848485,1.2484848484848485,33990
21,red,red,227,B104.json,973,968,21,60,908,746,938.0,859.5,0.96900826446281,0.8833504624871531,227,60,3.783333333333333,0.2643171806167401,13620
22,white,white,62,B104.json,973,968,22,458,244,911,473.0,942.0,0.48863636363636365,0.9681397738951696,458,62,7.387096774193548,7.387096774193548,28396
23,black,black,62,B104.json,973,968,23,206,702,911,805.0,942.0,0.8316115702479339,0.9681397738951696,206,62,3.3225806451612905,3.3225806451612905,12772
24,yellow,yellow,62,B104.json,973,968,24,244,0,911,122.0,942.0,0.12603305785123967,0.9681397738951696,244,62,3.935483870967742,3.935483870967742,15128
25,white,white,16,B104.json,973,968,25,562,140,0,421.0,8.0,0.43491735537190085,0.008221993833504625,562,16,35.125,35.125,8992
26,white,white,134,B104.json,973,968,26,266,702,0,835.0,67.0,0.862603305785124,0.06885919835560124,266,134,1.9850746268656716,1.9850746268656716,35644
27,white,white,16,B104.json,973,968,27,140,0,0,70.0,8.0,0.07231404958677685,0.008221993833504625,140,16,8.75,8.75,2240
28,red,red,192,B105.json,984,1000,0,132,46,44,112.0,140.0,0.112,0.14227642276422764,192,132,1.4545454545454546,0.6875,25344
29,white,white,192,B105.json,984,1000,1,191,178,44,273.5,140.0,0.2735,0.14227642276422764,192,191,1.0052356020942408,0.9947916666666666,36672
30,yellow,yellow,84,B105.json,984,1000,2,260,369,152,499.0,194.0,0.499,0.19715447154471544,260,84,3.0952380952380953,3.0952380952380953,21840
31,blue,blue,84,B105.json,984,1000,3,237,629,152,747.5,194.0,0.7475,0.19715447154471544,237,84,2.8214285714285716,2.8214285714285716,19908
32,blue,blue,218,B105.json,984,1000,4,323,46,236,207.5,345.0,0.2075,0.35060975609756095,323,218,1.481651376146789,1.481651376146789,70414
33,yellow,yellow,218,B105.json,984,1000,5,260,369,236,499.0,345.0,0.499,0.35060975609756095,260,218,1.1926605504587156,1.1926605504587156,56680
34,white,white,218,B105.json,984,1000,6,237,629,236,747.5,345.0,0.7475,0.35060975609756095,237,218,1.0871559633027523,1.0871559633027523,51666
35,red,red,543,B105.json,984,1000,7,76,866,236,904.0,507.5,0.904,0.5157520325203252,543,76,7.144736842105263,0.13996316758747698,41268
36,white,white,543,B105.json,984,1000,8,58,942,236,971.0,507.5,0.971,0.5157520325203252,543,58,9.362068965517242,0.10681399631675875,31494
37,white,white,381,B105.json,984,1000,9,46,0,236,23.0,426.5,0.023,0.4334349593495935,381,46,8.282608695652174,0.12073490813648294,17526
